"X","Y","Pb","Elevation","Slope","Aspect","Plan.Curvature","Profile.Curvature","TWI","MRVBF","MRRTF","Population","Landuse"
255660,673260,199.3,36.90000153,0.025054695,2.64224577,-0.008601001,-0.000184284,9.147452354,3.904705048,1.196988821,1937,20
256260,674840,54.8,71.30000305,0.081361361,2.155397892,0.008189131,-0.00143343,7.914085388,1.655041456,0.032536317,492,21
255690,675150,113.4,85.30000305,0.050994933,3.745898724,0.026782189,-0.001062784,7.734847069,0.101401553,1.731569529,778,21
255770,656440,110.4,101.5999985,0.015522912,6.022586823,-0.005452377,0.000624417,9.708594322,2.96381259,3.534362793,2157,21
253800,654270,92.1,162.8000031,0.08302515,1.214838743,0.025323872,0.000824065,8.034917831,1.268104315,0.194851443,920,1
255820,674850,87.7,71.09999847,0.200259596,4.514027119,0.003351223,-0.000997931,7.11604929,0.130152658,0.006468531,2833,21
254700,673750,56.5,52.5,0.033364244,4.562017441,-0.02012825,-0.001845103,8.756166458,3.033221245,0.002504572,2228,1
255250,656220,95,113.4000015,0.037318986,3.497229338,0.001696201,0.000375886,9.145420074,0.099311352,2.832346439,2157,21
257100,656680,103.2,105.8000031,0.066175379,3.050932884,-0.003378987,-1.6e-05,7.758563042,0.842932701,0.264545381,3240,21
241280,662640,92.4,30.79999924,0.067373782,3.022752285,0.002640337,0.000518297,9.141854286,3.681366444,0.46522963,2685,21
250860,658890,158.2,39.59999847,0.018025819,0.339293659,-0.002621664,-0.000492498,9.992836952,3.835206985,0.009305395,4996,21
248810,658240,188.4,69.5,0.072707012,6.131579876,0.014478346,-0.002177189,7.88120079,2.611100197,0.009310219,343,21
253430,659690,76.8,31.70000076,0.039828639,1.264917254,0.000958263,0.000400859,9.136035919,3.862088442,1.943984628,3110,21
252290,659430,79.7,37.70000076,0.103827022,1.102856755,0.002209052,-0.000383916,8.770726204,1.610563278,0.045194965,3831,21
253340,662330,99.3,28.39999962,0.082684457,5.938538074,0.001478911,7.66e-05,7.481510639,4.54746294,2.914315939,3215,4
249650,658540,36.6,61.90000153,0.084837019,5.431219101,0.001698306,9.45e-05,8.697611809,2.31182766,0.819951236,3042,21
251690,662430,223.7,11.69999981,0.02024569,4.138083935,-0.013563214,-0.000764895,9.225262642,4.692238331,0.002692493,1541,21
250260,659740,1075.6,45.5,0.013891527,5.240465164,-0.001700745,3.63e-06,10.6902771,3.464574575,1.953366995,2786,21
257800,656810,142,79,0.261367559,0.618076622,-0.004890987,0.000259888,6.83357048,0.002544267,0.000278111,3240,21
249200,660310,57.2,61.79999924,0.067697547,0.649400771,0.00330158,-0.000281905,7.90933609,1.36649406,0.109829366,1158,4
252270,661310,466.8,21.20000076,0.060850952,2.736700773,-0.008817903,1.71e-05,8.445421219,3.544014215,0.022533152,4285,4
253340,658920,65.1,34.59999847,0.012648436,4.390640259,0.011067864,-0.0004199,9.859020233,2.984782219,0.006582178,1430,20
252470,660600,136.1,26.29999924,0.021257089,5.431218624,0.00712616,-0.000271321,9.167402267,4.117378235,0.330339015,3209,21
249790,660230,87.9,49.29999924,0.027849561,1.203622341,0.018215394,-0.000506833,9.512980461,1.913259864,2.510771513,1158,21
252800,659680,173,36.90000153,0.069243297,1.469693422,0.00932375,-4.63e-05,8.124099731,0.205258206,1.271639585,3831,21
241750,661890,157.5,31.79999924,0.016490934,0.244979501,-0.013410828,0.000301053,9.437606812,3.493584156,0.018583197,3157,21
243670,663600,73,11.89999962,0.036671426,4.407877922,0.008465447,0.000169079,9.611682892,3.910681486,1.936736465,2455,1
247450,657250,146.7,122.3000031,0.110489614,5.200224876,-5.99e-05,0.00083125,8.477308273,0.78699559,0.044730458,1367,4
252290,659730,86.8,45.79999924,0.031102676,5.497786999,-0.017999096,-5.46e-20,8.832576752,3.309222937,2.976014137,3831,21
252700,660760,63.1,19.70000076,0.037994862,2.034444094,-0.009680852,-0.000371195,9.148200989,3.447199106,0.069360375,3209,21
257840,657640,76.7,58.59999847,0.143101901,1.536088109,-0.002511231,-1.76e-05,7.543846607,0.456465304,0.03276331,3945,21
241360,661360,125.7,37.20000076,0.024346806,5.948449135,0.013030005,2.27e-05,9.425283432,2.69840765,1.518359184,3157,21
249170,658110,125.2,87.5,0.063043214,2.277704,-0.002509291,0.000614725,8.764626503,1.022363186,1.265820503,3042,4
252880,658870,93.7,41.79999924,0.086827107,3.886362553,0.001082923,0.000480267,8.669395447,0.423109382,1.117517948,326,1
250900,657830,164.1,106.0999985,0.065427504,0.278299987,-0.000126715,0.000147352,8.135448456,0.51576519,0.39981246,759,1
241410,660940,135.2,52.70000076,0.043158822,6.190428734,-0.004245773,3.35e-06,8.006682396,1.556637526,0.272224844,392,21
249560,658620,198.3,55.20000076,0.035495643,1.4010185,-0.008473629,-0.000677813,8.617286682,2.804534197,0.004717027,3042,21
241410,662280,114.3,25.89999962,0.050994955,4.75158453,-0.006010667,-0.000351845,9.104464531,3.970820427,0.062148824,2685,21
247900,657230,363.9,141.1000061,0.029197907,2.234842777,-0.008575378,-0.000129373,9.060324669,0.347087562,2.907391787,1367,21
251100,659370,147.7,46.29999924,0.014141171,3.283490419,0.008626752,-2e-06,10.07627964,3.876339912,2.883817673,620,4
253370,660070,62.7,29.60000038,0.11104466,2.541152954,0.007358959,0.000588443,8.011398315,0.939740717,0.06830135,2640,21
257300,657670,307.6,74.30000305,0.066385411,4.438220978,0.002908124,-0.001304678,8.043307304,0.530070901,0.275123745,3945,21
247900,657540,238.7,129.3999939,0.039978627,5.35588932,-0.00232008,-2.71e-05,7.975901604,0.783059001,0.242815956,1367,21
